IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
141.101.120.0,4,1,0.75,169,21.19
104.17.64.0,4,2,0.5,101.98,21.19
104.18.224.0,4,2,0.5,167.67,21.18
104.19.160.0,4,1,0.75,168.94,21.1
173.245.49.0,4,2,0.5,170.63,21.1
104.16.96.0,4,1,0.75,167.99,21.09
104.17.224.0,4,1,0.75,169.45,21.08
104.16.32.0,4,2,0.5,172.88,21.07
104.18.128.0,4,1,0.75,168.17,21.06
104.19.128.0,4,1,0.75,168.02,21.05
104.16.160.0,4,1,0.75,172.65,21.02
104.18.0.0,4,1,0.75,168.9,21.02
104.17.192.0,4,1,0.75,170.32,21.01
104.18.64.0,4,2,0.5,172.81,21.01
104.17.0.0,4,1,0.75,169.84,21
104.19.192.0,4,1,0.75,170.04,20.99
104.17.160.0,4,1,0.75,168.62,20.99
104.16.64.0,4,3,0.25,168.29,20.98
104.18.32.0,4,1,0.75,35.28,20.97
172.67.64.0,4,3,0.25,169.43,20.97
104.27.0.0,4,1,0.75,171.65,20.97
104.23.128.0,4,1,0.75,171.89,20.96
141.101.113.0,4,2,0.5,171.09,20.95
172.67.96.0,4,2,0.5,171.09,20.95
162.159.160.0,4,2,0.5,171.09,20.95
104.27.64.0,4,2,0.5,171.09,20.95
104.17.128.0,4,2,0.5,171.09,20.95
198.41.211.0,4,2,0.5,171.09,20.95
104.20.0.0,4,2,0.5,171.09,20.95
104.23.96.0,4,2,0.5,171.09,20.95
162.159.152.0,4,2,0.5,171.09,20.95
104.24.128.0,4,2,0.5,171.09,20.95
104.25.32.0,4,2,0.5,171.09,20.95
104.24.192.0,4,2,0.5,171.09,20.95
104.24.64.0,4,2,0.5,171.09,20.95
104.25.128.0,4,2,0.5,171.09,20.95
104.25.192.0,4,2,0.5,171.09,20.95
104.16.224.0,4,2,0.5,171.09,20.95
104.27.192.0,4,2,0.5,171.09,20.95
190.93.244.0,4,2,0.5,171.09,20.95
162.159.128.0,4,2,0.5,171.09,20.95
104.26.0.0,4,2,0.5,171.09,20.95
104.25.224.0,4,2,0.5,171.09,20.95
104.24.32.0,4,2,0.5,171.09,20.95
104.20.32.0,4,2,0.5,171.09,20.95
104.25.64.0,4,2,0.5,171.09,20.95
104.27.32.0,4,2,0.5,171.09,20.95
104.27.96.0,4,2,0.5,171.09,20.95
104.24.224.0,4,2,0.5,171.09,20.95
104.16.128.0,4,2,0.5,171.09,20.95
104.25.0.0,4,2,0.5,171.09,20.95
172.67.128.0,4,2,0.5,171.09,20.95
104.25.96.0,4,2,0.5,171.09,20.95
172.67.160.0,4,2,0.5,171.09,20.95
172.67.192.0,4,2,0.5,171.09,20.95
104.24.0.0,4,2,0.5,171.09,20.95
162.159.36.0,4,2,0.5,171.09,20.95
104.17.32.0,4,2,0.5,171.09,20.95
103.21.244.0,4,2,0.5,171.09,20.95
104.16.192.0,4,2,0.5,171.09,20.95
104.17.96.0,4,2,0.5,171.09,20.95
104.16.0.0,4,2,0.5,171.09,20.95
198.41.208.0,4,2,0.5,171.09,20.95
104.18.192.0,4,2,0.5,171.09,20.95
104.19.64.0,4,2,0.5,171.09,20.95
162.159.46.0,4,2,0.5,171.09,20.95
104.19.0.0,4,2,0.5,171.09,20.95
104.18.96.0,4,2,0.5,171.09,20.95
104.24.160.0,4,2,0.5,171.09,20.95
104.19.32.0,4,2,0.5,171.09,20.95
